시즌,경기일,구장,개시시간,홈팀,원정팀
2021,2021.04.03(토),잠실,14:00,두산,KIA
2021,2021.04.03(토),잠실,14:00,SSG,롯데
2021,2021.04.03(토),잠실,14:00,NC,LG
2021,2021.04.03(토),잠실,14:00,KT,한화
2021,2021.04.03(토),잠실,14:00,키움,삼성
2021,2021.04.04(일),잠실,14:00,두산,KIA
2021,2021.04.04(일),잠실,14:00,SSG,롯데
2021,2021.04.04(일),잠실,14:00,NC,LG
2021,2021.04.04(일),잠실,14:00,KT,한화
2021,2021.04.04(일),잠실,14:00,키움,삼성
2021,2021.04.06(화),잠실,18:30,두산,삼성
2021,2021.04.06(화),잠실,18:30,SSG,한화
2021,2021.04.06(화),잠실,18:30,NC,롯데
2021,2021.04.06(화),잠실,18:30,KT,LG
2021,2021.04.06(화),잠실,18:30,키움,KIA
2021,2021.04.07(수),잠실,18:30,두산,삼성
2021,2021.04.07(수),잠실,18:30,SSG,한화
2021,2021.04.07(수),잠실,18:30,NC,롯데
2021,2021.04.07(수),잠실,18:30,KT,LG
2021,2021.04.07(수),잠실,18:30,키움,KIA
2021,2021.04.08(목),잠실,18:30,두산,삼성
2021,2021.04.08(목),잠실,18:30,SSG,한화
2021,2021.04.08(목),잠실,18:30,NC,롯데
2021,2021.04.08(목),잠실,18:30,KT,LG
2021,2021.04.08(목),잠실,18:30,키움,KIA
2021,2021.04.09(금),잠실,18:30,LG,SSG
2021,2021.04.09(금),잠실,18:30,롯데,키움
2021,2021.04.09(금),잠실,18:30,삼성,KT
2021,2021.04.09(금),잠실,18:30,KIA,NC
2021,2021.04.09(금),잠실,18:30,한화,두산
2021,2021.04.10(토),잠실,17:00,LG,SSG
2021,2021.04.10(토),잠실,17:00,롯데,키움
2021,2021.04.10(토),잠실,17:00,삼성,KT
2021,2021.04.10(토),잠실,17:00,KIA,NC
2021,2021.04.10(토),잠실,17:00,한화,두산
2021,2021.04.11(일),잠실,14:00,LG,SSG
2021,2021.04.11(일),잠실,14:00,롯데,키움
2021,2021.04.11(일),잠실,14:00,삼성,KT
2021,2021.04.11(일),잠실,14:00,KIA,NC
2021,2021.04.11(일),잠실,14:00,한화,두산
2021,2021.04.13(화),잠실,18:30,두산,KT
2021,2021.04.13(화),잠실,18:30,SSG,NC
2021,2021.04.13(화),잠실,18:30,삼성,한화
2021,2021.04.13(화),잠실,18:30,KIA,롯데
2021,2021.04.13(화),잠실,18:30,키움,LG
2021,2021.04.14(수),잠실,18:30,두산,KT
2021,2021.04.14(수),잠실,18:30,SSG,NC
2021,2021.04.14(수),잠실,18:30,삼성,한화
2021,2021.04.14(수),잠실,18:30,KIA,롯데
